,frame,x,y
0,1,208,119
1,1,206,129
2,1,206,140
3,1,207,150
4,1,207,161
5,1,209,171
6,1,212,181
7,1,219,187
8,1,229,190
9,1,241,189
10,1,253,185
11,1,263,179
12,1,272,171
13,1,278,162
14,1,282,152
15,1,285,141
16,1,287,129
17,1,211,104
18,1,212,98
19,1,217,94
20,1,224,93
21,1,229,97
22,1,240,97
23,1,247,95
24,1,256,96
25,1,264,100
26,1,268,109
27,1,232,109
28,1,231,113
29,1,229,118
30,1,228,123
31,1,223,133
32,1,226,135
33,1,229,136
34,1,233,135
35,1,238,134
36,1,216,113
37,1,219,110
38,1,223,109
39,1,227,113
40,1,223,114
41,1,219,114
42,1,245,114
43,1,249,111
44,1,254,112
45,1,257,116
46,1,253,116
47,1,248,115
48,1,219,159
49,1,221,151
50,1,225,148
51,1,228,149
52,1,232,148
53,1,237,151
54,1,243,159
55,1,237,162
56,1,232,164
57,1,228,164
58,1,225,164
59,1,221,163
60,1,221,158
61,1,225,153
62,1,228,153
63,1,232,153
64,1,240,158
65,1,232,158
66,1,228,158
67,1,225,158
0,2,208,123
1,2,206,133
2,2,206,143
3,2,207,153
4,2,208,163
5,2,210,173
6,2,213,182
7,2,220,188
8,2,230,190
9,2,242,189
10,2,253,185
11,2,263,179
12,2,271,172
13,2,278,164
14,2,282,153
15,2,285,142
16,2,287,130
17,2,210,106
18,2,212,99
19,2,217,95
20,2,224,94
21,2,229,97
22,2,238,97
23,2,246,94
24,2,256,96
25,2,263,101
26,2,268,110
27,2,233,110
28,2,231,114
29,2,230,119
30,2,228,123
31,2,223,134
32,2,226,136
33,2,229,136
34,2,234,136
35,2,238,134
36,2,216,115
37,2,218,111
38,2,223,110
39,2,228,114
40,2,223,115
41,2,219,116
42,2,244,114
43,2,248,111
44,2,253,112
45,2,257,116
46,2,253,117
47,2,248,116
48,2,219,159
49,2,221,152
50,2,226,148
51,2,229,149
52,2,232,148
53,2,238,151
54,2,243,159
55,2,238,162
56,2,232,164
57,2,229,164
58,2,225,164
59,2,221,163
60,2,222,158
61,2,226,154
62,2,229,153
63,2,232,153
64,2,240,158
65,2,232,158
66,2,229,158
67,2,226,158
0,3,209,122
1,3,207,132
2,3,207,143
3,3,208,153
4,3,210,163
5,3,212,173
6,3,216,182
7,3,222,188
8,3,232,190
9,3,244,189
10,3,255,185
11,3,265,179
12,3,274,171
13,3,280,163
14,3,284,152
15,3,287,140
16,3,288,127
17,3,212,105
18,3,213,98
19,3,218,95
20,3,224,95
21,3,229,98
22,3,237,97
23,3,246,94
24,3,256,94
25,3,264,99
26,3,269,108
27,3,233,110
28,3,231,115
29,3,230,120
30,3,228,124
31,3,224,135
32,3,227,136
33,3,230,137
34,3,234,136
35,3,238,135
36,3,217,114
37,3,219,110
38,3,224,110
39,3,228,114
40,3,224,115
41,3,219,115
42,3,244,114
43,3,248,111
44,3,253,111
45,3,257,115
46,3,253,116
47,3,248,115
48,3,221,160
49,3,223,152
50,3,227,149
51,3,229,150
52,3,233,149
53,3,238,152
54,3,243,160
55,3,238,163
56,3,233,164
57,3,229,165
58,3,226,165
59,3,223,164
60,3,224,159
61,3,227,155
62,3,230,154
63,3,233,154
64,3,241,159
65,3,233,158
66,3,229,159
67,3,227,159
0,4,210,125
1,4,209,134
2,4,209,144
3,4,209,153
4,4,210,163
5,4,212,173
6,4,216,181
7,4,223,187
8,4,233,189
9,4,245,187
10,4,256,184
11,4,265,178
12,4,273,170
13,4,279,162
14,4,282,151
15,4,284,140
16,4,285,129
17,4,213,109
18,4,215,101
19,4,220,96
20,4,227,95
21,4,232,97
22,4,241,96
23,4,249,93
24,4,258,94
25,4,265,99
26,4,269,108
27,4,235,109
28,4,234,114
29,4,233,118
30,4,231,123
31,4,226,134
32,4,229,135
33,4,232,136
34,4,237,135
35,4,241,134
36,4,220,118
37,4,222,114
38,4,226,113
39,4,231,115
40,4,227,117
41,4,223,118
42,4,246,114
43,4,250,111
44,4,255,112
45,4,258,115
46,4,254,116
47,4,250,115
48,4,223,158
49,4,225,152
50,4,229,148
51,4,232,149
52,4,235,148
53,4,240,151
54,4,246,158
55,4,240,161
56,4,235,162
57,4,232,162
58,4,229,162
59,4,225,162
60,4,225,158
61,4,229,154
62,4,232,153
63,4,235,153
64,4,243,157
65,4,235,156
66,4,232,157
67,4,229,157
0,5,211,129
1,5,211,137
2,5,211,146
3,5,212,154
4,5,214,163
5,5,216,172
6,5,219,180
7,5,226,186
8,5,236,187
9,5,247,186
10,5,258,181
11,5,267,174
12,5,274,167
13,5,280,158
14,5,283,147
15,5,283,135
16,5,284,125
17,5,211,112
18,5,211,107
19,5,215,104
20,5,220,103
21,5,225,105
22,5,234,103
23,5,241,100
24,5,248,100
25,5,256,101
26,5,262,107
27,5,229,112
28,5,228,117
29,5,228,122
30,5,227,127
31,5,224,136
32,5,226,138
33,5,229,139
34,5,233,137
35,5,236,135
36,5,215,118
37,5,217,114
38,5,220,114
39,5,224,116
40,5,221,117
41,5,217,118
42,5,241,115
43,5,245,111
44,5,250,111
45,5,253,114
46,5,250,115
47,5,245,115
48,5,224,158
49,5,224,152
50,5,227,149
51,5,230,149
52,5,234,148
53,5,240,150
54,5,247,156
55,5,241,160
56,5,235,161
57,5,231,162
58,5,228,162
59,5,225,161
60,5,226,157
61,5,228,154
62,5,231,153
63,5,234,153
64,5,244,156
65,5,234,156
66,5,231,156
67,5,228,156
0,6,214,116
1,6,212,125
2,6,212,136
3,6,212,145
4,6,212,156
5,6,214,167
6,6,217,177
7,6,224,184
8,6,234,187
9,6,246,187
10,6,258,182
11,6,268,175
12,6,277,167
13,6,283,158
14,6,288,147
15,6,291,136
16,6,293,125
17,6,216,103
18,6,218,97
19,6,223,95
20,6,230,95
21,6,235,98
22,6,246,98
23,6,254,95
