,frame,x,y
9,6,825,453
10,6,842,440
11,6,855,424
12,6,867,406
13,6,873,386
14,6,876,366
15,6,877,346
16,6,876,326
17,6,739,292
18,6,749,278
19,6,764,271
20,6,781,271
21,6,795,278
22,6,824,279
23,6,837,276
24,6,851,277
25,6,862,284
26,6,866,298
27,6,812,304
28,6,813,319
29,6,814,333
30,6,814,347
31,6,791,361
32,6,801,363
33,6,811,365
34,6,821,363
35,6,829,361
36,6,757,309
37,6,767,306
38,6,776,306
39,6,784,310
40,6,776,310
41,6,767,310
42,6,830,312
43,6,840,309
44,6,848,310
45,6,854,314
46,6,847,313
47,6,839,312
48,6,775,392
49,6,790,386
50,6,803,382
51,6,811,384
52,6,820,382
53,6,830,386
54,6,838,392
55,6,830,400
56,6,821,404
57,6,811,406
58,6,802,405
59,6,790,402
60,6,781,392
61,6,803,389
62,6,811,390
63,6,820,389
64,6,833,392
65,6,820,394
66,6,811,395
67,6,803,395
0,7,713,327
1,7,713,350
2,7,714,374
3,7,718,397
4,7,729,417
5,7,746,433
6,7,764,446
7,7,785,455
8,7,807,456
9,7,827,452
10,7,842,440
11,7,856,425
12,7,867,408
13,7,873,388
14,7,876,368
15,7,877,348
16,7,876,328
17,7,739,294
18,7,748,280
19,7,763,272
20,7,780,272
21,7,795,278
22,7,823,279
23,7,837,276
24,7,851,278
25,7,862,285
26,7,867,299
27,7,811,305
28,7,812,319
29,7,813,333
30,7,814,347
31,7,791,361
32,7,801,364
33,7,811,366
34,7,821,363
35,7,829,361
36,7,755,310
37,7,765,307
38,7,775,307
39,7,784,311
40,7,775,311
41,7,765,311
42,7,830,313
43,7,840,310
44,7,848,311
45,7,855,314
46,7,848,314
47,7,839,313
48,7,775,393
49,7,790,387
50,7,803,383
51,7,812,385
52,7,820,383
53,7,831,387
54,7,840,393
55,7,830,401
56,7,821,405
57,7,811,406
58,7,802,405
59,7,789,402
60,7,780,393
61,7,803,390
62,7,811,391
63,7,820,390
64,7,835,392
65,7,820,395
66,7,812,397
67,7,803,396
0,8,715,324
1,8,714,348
2,8,716,371
3,8,720,393
4,8,731,414
5,8,746,431
6,8,763,445
7,8,784,454
8,8,807,455
9,8,828,451
10,8,844,438
11,8,856,422
12,8,867,405
13,8,874,385
14,8,877,364
15,8,878,343
16,8,876,322
17,8,741,291
18,8,750,277
19,8,765,271
20,8,781,271
21,8,796,276
22,8,822,277
23,8,836,275
24,8,849,276
25,8,861,282
26,8,865,295
27,8,812,303
28,8,812,317
29,8,814,331
30,8,815,346
31,8,793,360
32,8,803,361
33,8,812,363
34,8,820,362
35,8,828,360
36,8,759,308
37,8,767,305
38,8,776,305
39,8,784,308
40,8,776,309
41,8,768,309
42,8,830,310
43,8,839,307
44,8,847,308
45,8,853,312
46,8,846,312
47,8,838,311
48,8,777,391
49,8,792,385
50,8,803,381
51,8,811,383
52,8,819,381
53,8,829,385
54,8,837,391
55,8,829,396
56,8,820,399
57,8,812,399
58,8,803,398
59,8,792,397
60,8,783,390
61,8,803,388
62,8,811,389
63,8,819,389
64,8,832,390
65,8,820,388
66,8,811,389
67,8,803,388
0,9,712,328
1,9,712,351
2,9,713,374
3,9,717,397
4,9,728,417
5,9,744,434
6,9,763,447
7,9,784,455
8,9,806,456
9,9,827,452
10,9,843,439
11,9,856,425
12,9,866,407
13,9,872,387
14,9,875,367
15,9,876,347
16,9,874,326
17,9,737,295
18,9,745,280
19,9,761,272
20,9,778,271
21,9,792,278
22,9,819,278
23,9,832,274
24,9,847,276
25,9,859,283
26,9,864,297
27,9,808,304
28,9,808,318
29,9,810,332
30,9,811,347
31,9,789,361
32,9,799,363
33,9,810,365
34,9,819,362
35,9,828,360
36,9,754,310
37,9,763,307
38,9,772,307
39,9,781,311
40,9,772,311
41,9,763,311
42,9,827,311
43,9,836,307
44,9,845,307
45,9,852,311
46,9,844,312
47,9,836,312
48,9,774,393
49,9,789,387
50,9,802,383
51,9,810,384
52,9,818,382
53,9,829,385
54,9,838,393
55,9,829,400
56,9,820,404
57,9,811,405
58,9,802,404
59,9,790,401
60,9,780,393
61,9,802,390
62,9,810,391
63,9,818,390
64,9,833,392
65,9,819,394
66,9,811,395
67,9,802,395
0,10,710,325
1,10,712,349
2,10,713,372
3,10,717,395
4,10,727,416
5,10,744,432
6,10,763,445
7,10,785,455
8,10,808,456
9,10,829,451
10,10,845,438
11,10,858,422
12,10,868,404
13,10,874,384
14,10,877,363
15,10,878,343
16,10,876,323
17,10,737,295
18,10,746,280
19,10,760,272
20,10,777,271
21,10,792,277
22,10,820,277
23,10,834,273
24,10,848,275
25,10,860,282
26,10,865,295
27,10,808,304
28,10,809,318
29,10,811,332
30,10,812,346
31,10,791,361
32,10,801,363
33,10,810,364
34,10,819,362
35,10,827,359
36,10,755,310
37,10,764,307
38,10,773,307
39,10,782,311
40,10,773,311
41,10,764,311
42,10,828,310
43,10,837,306
44,10,846,307
45,10,853,310
46,10,846,311
47,10,837,311
48,10,776,393
49,10,791,386
50,10,803,382
51,10,811,383
52,10,819,381
53,10,829,384
54,10,838,389
55,10,830,397
56,10,821,402
57,10,812,403
58,10,803,403
59,10,791,400
60,10,782,392
61,10,803,388
62,10,811,389
63,10,819,387
64,10,834,389
65,10,820,392
66,10,812,393
67,10,804,393
0,11,713,327
1,11,713,350
2,11,714,374
3,11,718,398
4,11,729,418
5,11,746,433
6,11,766,446
7,11,788,456
8,11,811,457
9,11,832,451
10,11,848,437
11,11,860,420
12,11,870,402
13,11,875,382
14,11,878,361
15,11,879,340
16,11,876,321
17,11,739,294
18,11,749,279
19,11,764,271
20,11,781,270
21,11,796,276
22,11,822,277
23,11,836,274
24,11,849,275
25,11,861,282
26,11,865,295
27,11,812,305
28,11,814,319
29,11,815,332
30,11,817,346
31,11,794,361
32,11,804,363
33,11,814,365
34,11,823,363
35,11,831,360
36,11,757,309
37,11,766,306
38,11,775,306
39,11,785,311
40,11,776,311
41,11,766,311
42,11,829,311
43,11,837,307
44,11,846,307
45,11,853,310
46,11,846,311
47,11,837,311
48,11,778,393
49,11,793,386
50,11,805,383
51,11,813,384
52,11,821,382
53,11,830,385
54,11,839,390
55,11,831,398
56,11,823,403
57,11,814,405
58,11,805,404
59,11,793,401
60,11,784,392
61,11,805,390
62,11,813,391
63,11,821,389
64,11,834,389
65,11,822,393
66,11,814,394
67,11,805,394
0,12,711,326
1,12,711,349
2,12,713,371
3,12,717,393
4,12,728,414
5,12,743,430
6,12,762,444
7,12,783,454
8,12,806,455
9,12,827,451
10,12,844,439
11,12,856,423
12,12,867,405
13,12,873,385
14,12,875,364
15,12,876,343
16,12,874,322
17,12,735,297
18,12,743,281
19,12,758,273
20,12,776,272
21,12,791,278
22,12,818,279
23,12,832,273
24,12,847,275
25,12,859,283
26,12,863,298
27,12,806,305
28,12,807,319
29,12,809,333
30,12,810,348
31,12,788,362
32,12,799,363
33,12,809,365
34,12,819,362
35,12,827,360
36,12,754,310
37,12,763,307
38,12,772,307
39,12,781,311
40,12,772,312
41,12,763,312
42,12,826,311
43,12,836,308
44,12,844,308
45,12,850,312
46,12,843,312
47,12,835,312
48,12,774,394
49,12,789,387
50,12,802,382
51,12,810,383
52,12,819,381
53,12,829,384
54,12,839,391
55,12,830,398
56,12,820,403
57,12,811,404
58,12,802,404
59,12,789,401
60,12,779,393
61,12,802,390
62,12,810,390
63,12,819,389
64,12,834,390
65,12,820,393
66,12,811,395
67,12,802,394
0,13,711,326
1,13,711,349
2,13,713,372
3,13,718,394
4,13,728,415
5,13,744,431
6,13,763,445
7,13,784,454
8,13,808,456
9,13,829,451
10,13,846,438
11,13,859,421
12,13,869,403
13,13,874,382
14,13,876,361
15,13,876,341
16,13,873,320
17,13,735,295
18,13,743,280
19,13,758,272
20,13,775,271
21,13,790,277
22,13,818,276
23,13,832,272
24,13,846,272
25,13,858,279
26,13,863,293
27,13,807,303
28,13,808,318
29,13,810,331
30,13,811,346
31,13,789,361
32,13,799,362
33,13,810,364
34,13,819,361
35,13,827,359
36,13,752,310
37,13,762,307
38,13,771,307
39,13,780,310
40,13,771,311
41,13,762,311
42,13,826,310
43,13,835,306
44,13,843,306
45,13,850,310
46,13,843,310
47,13,835,310
48,13,774,394
49,13,789,387
50,13,802,382
51,13,810,383
52,13,818,381
53,13,828,384
54,13,838,389
55,13,830,398
56,13,820,402
57,13,811,404
58,13,803,404
59,13,789,401
60,13,779,393
61,13,802,389
62,13,810,389
63,13,818,387
64,13,833,389
65,13,819,393
66,13,811,394
67,13,803,394
0,14,710,328
1,14,711,351
2,14,713,374
3,14,717,396
4,14,728,416
5,14,744,431
6,14,763,445
7,14,784,454
8,14,808,455
9,14,829,451
10,14,846,437
11,14,858,421
12,14,868,403
13,14,874,383
14,14,876,361
15,14,876,341
16,14,873,321
