,frame,x,y
0,1,156,229
1,1,155,239
2,1,155,249
3,1,157,260
4,1,159,270
5,1,162,279
6,1,168,285
7,1,176,289
8,1,186,289
9,1,197,290
10,1,209,288
11,1,219,283
12,1,227,275
13,1,232,265
14,1,236,253
15,1,238,241
16,1,238,229
17,1,156,206
18,1,159,201
19,1,164,198
20,1,171,199
21,1,177,202
22,1,191,201
23,1,199,197
24,1,208,197
25,1,217,199
26,1,224,206
27,1,184,213
28,1,183,220
29,1,182,227
30,1,181,234
31,1,177,244
32,1,180,245
33,1,183,246
34,1,187,245
35,1,192,243
36,1,161,217
37,1,164,212
38,1,170,212
39,1,176,217
40,1,170,219
41,1,164,219
42,1,199,217
43,1,205,212
44,1,212,211
45,1,217,216
46,1,212,218
47,1,205,218
48,1,174,268
49,1,177,261
50,1,181,257
51,1,185,258
52,1,188,256
53,1,193,259
54,1,199,266
55,1,193,268
56,1,189,270
57,1,185,270
58,1,181,270
59,1,177,269
60,1,177,266
61,1,182,263
62,1,185,263
63,1,188,262
64,1,196,265
65,1,188,264
66,1,185,264
67,1,181,264
0,2,155,228
1,2,154,237
2,2,155,248
3,2,157,259
4,2,159,269
5,2,163,278
6,2,168,284
7,2,176,288
8,2,187,289
9,2,198,288
10,2,210,286
11,2,220,281
12,2,227,274
13,2,232,263
14,2,236,252
15,2,238,240
16,2,238,229
17,2,157,205
18,2,159,200
19,2,165,198
20,2,171,198
21,2,177,202
22,2,192,201
23,2,200,198
24,2,210,198
25,2,219,201
26,2,225,209
27,2,184,213
28,2,183,220
29,2,181,227
30,2,180,234
31,2,177,243
32,2,179,244
33,2,183,245
34,2,187,244
35,2,191,243
36,2,162,216
37,2,165,212
38,2,171,212
39,2,176,217
40,2,170,219
41,2,164,219
42,2,200,218
43,2,205,213
44,2,212,213
45,2,216,217
46,2,212,220
47,2,205,219
48,2,175,266
49,2,178,260
50,2,181,257
51,2,185,258
52,2,188,256
53,2,194,259
54,2,199,265
55,2,193,268
56,2,188,269
57,2,185,269
58,2,181,269
59,2,178,269
60,2,177,265
61,2,182,262
62,2,185,262
