No,frame,x,y
0.0,6.0,864.0,246.0
1.0,6.0,867.0,266.0
2.0,6.0,870.0,285.0
3.0,6.0,876.0,304.0
4.0,6.0,887.0,318.0
5.0,6.0,903.0,327.0
6.0,6.0,925.0,331.0
7.0,6.0,947.0,333.0
8.0,6.0,969.0,333.0
9.0,6.0,987.0,331.0
10.0,6.0,1002.0,327.0
11.0,6.0,1013.0,318.0
12.0,6.0,1018.0,305.0
13.0,6.0,1020.0,288.0
14.0,6.0,1019.0,271.0
15.0,6.0,1017.0,255.0
16.0,6.0,1014.0,239.0
17.0,6.0,893.0,214.0
18.0,6.0,903.0,200.0
19.0,6.0,918.0,192.0
20.0,6.0,935.0,192.0
21.0,6.0,951.0,197.0
22.0,6.0,968.0,197.0
23.0,6.0,980.0,194.0
24.0,6.0,992.0,194.0
25.0,6.0,1002.0,201.0
26.0,6.0,1007.0,213.0
27.0,6.0,963.0,212.0
28.0,6.0,965.0,219.0
29.0,6.0,968.0,226.0
30.0,6.0,970.0,234.0
31.0,6.0,952.0,253.0
32.0,6.0,960.0,254.0
33.0,6.0,968.0,255.0
34.0,6.0,974.0,254.0
35.0,6.0,980.0,253.0
36.0,6.0,915.0,222.0
37.0,6.0,923.0,217.0
38.0,6.0,930.0,216.0
39.0,6.0,938.0,220.0
40.0,6.0,931.0,221.0
41.0,6.0,923.0,222.0
42.0,6.0,976.0,221.0
43.0,6.0,984.0,217.0
44.0,6.0,991.0,218.0
45.0,6.0,996.0,224.0
46.0,6.0,990.0,224.0
47.0,6.0,984.0,223.0
48.0,6.0,938.0,284.0
49.0,6.0,952.0,274.0
50.0,6.0,963.0,269.0
51.0,6.0,969.0,271.0
52.0,6.0,976.0,270.0
53.0,6.0,984.0,275.0
54.0,6.0,991.0,285.0
55.0,6.0,984.0,283.0
56.0,6.0,977.0,281.0
57.0,6.0,971.0,281.0
58.0,6.0,963.0,281.0
59.0,6.0,953.0,282.0
60.0,6.0,943.0,282.0
61.0,6.0,963.0,277.0
62.0,6.0,969.0,277.0
63.0,6.0,976.0,277.0
64.0,6.0,987.0,283.0
65.0,6.0,976.0,275.0
66.0,6.0,970.0,275.0
67.0,6.0,963.0,275.0
0.0,7.0,866.0,242.0
1.0,7.0,868.0,262.0
2.0,7.0,871.0,282.0
3.0,7.0,877.0,301.0
4.0,7.0,888.0,317.0
5.0,7.0,906.0,327.0
6.0,7.0,928.0,332.0
7.0,7.0,951.0,333.0
8.0,7.0,972.0,332.0
9.0,7.0,990.0,329.0
10.0,7.0,1003.0,323.0
11.0,7.0,1014.0,312.0
12.0,7.0,1020.0,298.0
13.0,7.0,1021.0,281.0
14.0,7.0,1020.0,264.0
15.0,7.0,1018.0,247.0
16.0,7.0,1014.0,231.0
17.0,7.0,896.0,213.0
18.0,7.0,905.0,200.0
19.0,7.0,920.0,192.0
20.0,7.0,937.0,192.0
21.0,7.0,951.0,197.0
22.0,7.0,970.0,196.0
23.0,7.0,980.0,190.0
24.0,7.0,991.0,189.0
25.0,7.0,1002.0,193.0
26.0,7.0,1007.0,202.0
27.0,7.0,964.0,210.0
28.0,7.0,966.0,218.0
29.0,7.0,969.0,226.0
30.0,7.0,972.0,234.0
31.0,7.0,954.0,253.0
32.0,7.0,963.0,254.0
33.0,7.0,970.0,254.0
34.0,7.0,976.0,253.0
35.0,7.0,981.0,251.0
36.0,7.0,917.0,220.0
37.0,7.0,924.0,216.0
38.0,7.0,931.0,214.0
39.0,7.0,940.0,217.0
40.0,7.0,933.0,219.0
41.0,7.0,925.0,220.0
42.0,7.0,976.0,215.0
43.0,7.0,984.0,210.0
44.0,7.0,991.0,210.0
45.0,7.0,997.0,214.0
46.0,7.0,991.0,215.0
47.0,7.0,984.0,215.0
48.0,7.0,939.0,283.0
49.0,7.0,953.0,273.0
50.0,7.0,964.0,269.0
51.0,7.0,970.0,270.0
52.0,7.0,976.0,269.0
53.0,7.0,984.0,272.0
54.0,7.0,992.0,281.0
55.0,7.0,985.0,282.0
56.0,7.0,979.0,281.0
57.0,7.0,972.0,281.0
58.0,7.0,965.0,281.0
59.0,7.0,954.0,283.0
60.0,7.0,944.0,281.0
61.0,7.0,964.0,276.0
62.0,7.0,971.0,276.0
63.0,7.0,977.0,276.0
64.0,7.0,988.0,280.0
65.0,7.0,977.0,275.0
66.0,7.0,971.0,275.0
67.0,7.0,965.0,275.0
0.0,8.0,879.0,247.0
1.0,8.0,881.0,266.0
2.0,8.0,884.0,284.0
3.0,8.0,890.0,302.0
4.0,8.0,900.0,316.0
5.0,8.0,915.0,327.0
6.0,8.0,934.0,334.0
7.0,8.0,955.0,336.0
8.0,8.0,976.0,336.0
9.0,8.0,994.0,333.0
10.0,8.0,1008.0,326.0
11.0,8.0,1019.0,315.0
12.0,8.0,1026.0,302.0
13.0,8.0,1029.0,286.0
14.0,8.0,1029.0,270.0
15.0,8.0,1027.0,253.0
16.0,8.0,1024.0,237.0
17.0,8.0,904.0,216.0
18.0,8.0,911.0,201.0
19.0,8.0,925.0,192.0
20.0,8.0,941.0,189.0
21.0,8.0,956.0,194.0
22.0,8.0,974.0,196.0
23.0,8.0,985.0,191.0
24.0,8.0,997.0,192.0
25.0,8.0,1008.0,199.0
26.0,8.0,1013.0,211.0
27.0,8.0,966.0,211.0
28.0,8.0,969.0,220.0
29.0,8.0,971.0,229.0
30.0,8.0,974.0,238.0
31.0,8.0,957.0,255.0
32.0,8.0,965.0,257.0
33.0,8.0,972.0,258.0
34.0,8.0,979.0,256.0
35.0,8.0,985.0,254.0
36.0,8.0,924.0,221.0
37.0,8.0,931.0,217.0
38.0,8.0,939.0,216.0
39.0,8.0,947.0,219.0
40.0,8.0,940.0,220.0
41.0,8.0,932.0,221.0
42.0,8.0,981.0,219.0
43.0,8.0,988.0,216.0
44.0,8.0,995.0,217.0
45.0,8.0,1001.0,221.0
46.0,8.0,995.0,221.0
47.0,8.0,988.0,220.0
48.0,8.0,947.0,286.0
49.0,8.0,958.0,277.0
50.0,8.0,968.0,272.0
51.0,8.0,974.0,273.0
52.0,8.0,981.0,272.0
53.0,8.0,990.0,276.0
54.0,8.0,997.0,285.0
55.0,8.0,990.0,285.0
56.0,8.0,982.0,284.0
57.0,8.0,975.0,284.0
58.0,8.0,968.0,284.0
59.0,8.0,959.0,285.0
60.0,8.0,951.0,284.0
61.0,8.0,968.0,279.0
62.0,8.0,974.0,279.0
63.0,8.0,981.0,279.0
64.0,8.0,993.0,283.0
65.0,8.0,982.0,278.0
66.0,8.0,975.0,278.0
67.0,8.0,968.0,278.0
0.0,9.0,881.0,239.0
1.0,9.0,882.0,258.0
2.0,9.0,885.0,277.0
3.0,9.0,889.0,295.0
4.0,9.0,899.0,310.0
5.0,9.0,913.0,322.0
6.0,9.0,932.0,332.0
7.0,9.0,954.0,335.0
8.0,9.0,974.0,335.0
9.0,9.0,991.0,331.0
10.0,9.0,1004.0,322.0
11.0,9.0,1014.0,310.0
12.0,9.0,1021.0,296.0
13.0,9.0,1025.0,281.0
14.0,9.0,1027.0,264.0
15.0,9.0,1026.0,248.0
16.0,9.0,1024.0,232.0
17.0,9.0,906.0,216.0
18.0,9.0,913.0,201.0
19.0,9.0,927.0,193.0
20.0,9.0,943.0,193.0
21.0,9.0,957.0,200.0
22.0,9.0,977.0,201.0
23.0,9.0,987.0,196.0
24.0,9.0,999.0,195.0
25.0,9.0,1009.0,201.0
26.0,9.0,1014.0,212.0
27.0,9.0,969.0,215.0
28.0,9.0,971.0,224.0
29.0,9.0,973.0,232.0
30.0,9.0,976.0,240.0
31.0,9.0,959.0,256.0
32.0,9.0,966.0,258.0
33.0,9.0,974.0,260.0
34.0,9.0,980.0,257.0
35.0,9.0,986.0,254.0
36.0,9.0,927.0,221.0
37.0,9.0,935.0,217.0
38.0,9.0,943.0,216.0
39.0,9.0,951.0,220.0
40.0,9.0,944.0,221.0
41.0,9.0,935.0,222.0
42.0,9.0,980.0,219.0
43.0,9.0,988.0,216.0
44.0,9.0,995.0,217.0
45.0,9.0,1001.0,221.0
46.0,9.0,995.0,221.0
47.0,9.0,988.0,221.0
48.0,9.0,947.0,285.0
49.0,9.0,959.0,278.0
50.0,9.0,969.0,274.0
51.0,9.0,974.0,274.0
52.0,9.0,980.0,273.0
53.0,9.0,988.0,276.0
54.0,9.0,995.0,281.0
55.0,9.0,988.0,284.0
56.0,9.0,982.0,286.0
57.0,9.0,975.0,286.0
58.0,9.0,969.0,287.0
59.0,9.0,959.0,287.0
60.0,9.0,951.0,284.0
61.0,9.0,969.0,280.0
62.0,9.0,974.0,280.0
63.0,9.0,980.0,280.0
64.0,9.0,991.0,280.0
65.0,9.0,981.0,279.0
66.0,9.0,975.0,279.0
67.0,9.0,969.0,280.0
0.0,10.0,881.0,241.0
1.0,10.0,883.0,261.0
2.0,10.0,885.0,280.0
3.0,10.0,890.0,300.0
4.0,10.0,900.0,315.0
5.0,10.0,916.0,326.0
6.0,10.0,938.0,331.0
7.0,10.0,960.0,333.0
8.0,10.0,982.0,333.0
9.0,10.0,1000.0,331.0
10.0,10.0,1014.0,326.0
11.0,10.0,1024.0,316.0
12.0,10.0,1029.0,302.0
13.0,10.0,1031.0,285.0
14.0,10.0,1030.0,269.0
15.0,10.0,1029.0,252.0
16.0,10.0,1026.0,237.0
17.0,10.0,910.0,210.0
18.0,10.0,920.0,196.0
19.0,10.0,935.0,189.0
20.0,10.0,952.0,188.0
21.0,10.0,967.0,194.0
22.0,10.0,983.0,195.0
23.0,10.0,994.0,191.0
24.0,10.0,1006.0,192.0
25.0,10.0,1017.0,199.0
26.0,10.0,1021.0,211.0
27.0,10.0,978.0,211.0
28.0,10.0,980.0,219.0
29.0,10.0,982.0,226.0
30.0,10.0,985.0,235.0
31.0,10.0,967.0,253.0
32.0,10.0,975.0,254.0
33.0,10.0,983.0,255.0
34.0,10.0,988.0,254.0
35.0,10.0,994.0,252.0
36.0,10.0,930.0,219.0
37.0,10.0,938.0,214.0
38.0,10.0,946.0,213.0
39.0,10.0,954.0,217.0
40.0,10.0,946.0,218.0
41.0,10.0,939.0,219.0
42.0,10.0,990.0,219.0
43.0,10.0,998.0,215.0
44.0,10.0,1005.0,215.0
45.0,10.0,1011.0,221.0
46.0,10.0,1005.0,221.0
47.0,10.0,998.0,220.0
48.0,10.0,951.0,283.0
49.0,10.0,965.0,275.0
50.0,10.0,976.0,270.0
51.0,10.0,982.0,272.0
52.0,10.0,988.0,270.0
53.0,10.0,996.0,275.0
54.0,10.0,1002.0,284.0
55.0,10.0,996.0,284.0
56.0,10.0,989.0,283.0
57.0,10.0,983.0,282.0
58.0,10.0,976.0,282.0
59.0,10.0,966.0,283.0
60.0,10.0,956.0,282.0
61.0,10.0,976.0,278.0
62.0,10.0,982.0,278.0
63.0,10.0,988.0,278.0
64.0,10.0,999.0,282.0
65.0,10.0,989.0,276.0
66.0,10.0,983.0,276.0
67.0,10.0,976.0,276.0
0.0,11.0,881.0,240.0
1.0,11.0,883.0,259.0
2.0,11.0,885.0,278.0
3.0,11.0,890.0,296.0
4.0,11.0,900.0,311.0
5.0,11.0,914.0,322.0
6.0,11.0,933.0,329.0
7.0,11.0,954.0,332.0
8.0,11.0,973.0,331.0
9.0,11.0,990.0,328.0
10.0,11.0,1004.0,321.0
11.0,11.0,1015.0,310.0
12.0,11.0,1023.0,297.0
13.0,11.0,1027.0,281.0
14.0,11.0,1028.0,265.0
15.0,11.0,1027.0,249.0
16.0,11.0,1024.0,235.0
17.0,11.0,906.0,214.0
18.0,11.0,914.0,200.0
19.0,11.0,927.0,192.0
20.0,11.0,943.0,192.0
21.0,11.0,957.0,197.0
22.0,11.0,975.0,198.0
23.0,11.0,986.0,193.0
24.0,11.0,998.0,193.0
25.0,11.0,1009.0,199.0
26.0,11.0,1014.0,210.0
27.0,11.0,968.0,212.0
28.0,11.0,970.0,221.0
29.0,11.0,973.0,228.0
30.0,11.0,976.0,237.0
31.0,11.0,958.0,254.0
32.0,11.0,966.0,256.0
33.0,11.0,973.0,257.0
34.0,11.0,979.0,255.0
35.0,11.0,985.0,252.0
36.0,11.0,927.0,220.0
37.0,11.0,934.0,215.0
38.0,11.0,942.0,214.0
39.0,11.0,949.0,218.0
40.0,11.0,943.0,219.0
41.0,11.0,935.0,220.0
42.0,11.0,980.0,217.0
43.0,11.0,987.0,214.0
44.0,11.0,995.0,215.0
45.0,11.0,1000.0,219.0
46.0,11.0,994.0,219.0
47.0,11.0,987.0,219.0
48.0,11.0,947.0,283.0
49.0,11.0,958.0,275.0
50.0,11.0,968.0,271.0
51.0,11.0,974.0,272.0
52.0,11.0,980.0,270.0
53.0,11.0,987.0,273.0
54.0,11.0,994.0,280.0
55.0,11.0,987.0,281.0
56.0,11.0,981.0,282.0
57.0,11.0,975.0,283.0
58.0,11.0,968.0,283.0
59.0,11.0,959.0,284.0
60.0,11.0,951.0,282.0
61.0,11.0,968.0,277.0
62.0,11.0,974.0,277.0
63.0,11.0,980.0,276.0
64.0,11.0,991.0,278.0
65.0,11.0,980.0,276.0
66.0,11.0,974.0,277.0
67.0,11.0,968.0,277.0
0.0,12.0,882.0,237.0
1.0,12.0,883.0,255.0
2.0,12.0,885.0,274.0
3.0,12.0,889.0,291.0
4.0,12.0,898.0,306.0
5.0,12.0,912.0,318.0
6.0,12.0,929.0,326.0
7.0,12.0,950.0,329.0
8.0,12.0,970.0,329.0
9.0,12.0,987.0,326.0
10.0,12.0,1000.0,319.0
11.0,12.0,1012.0,309.0
12.0,12.0,1019.0,297.0
13.0,12.0,1023.0,282.0
14.0,12.0,1025.0,266.0
15.0,12.0,1025.0,251.0
16.0,12.0,1024.0,235.0
17.0,12.0,907.0,214.0
18.0,12.0,917.0,202.0
19.0,12.0,931.0,197.0
20.0,12.0,946.0,197.0
21.0,12.0,960.0,202.0
22.0,12.0,978.0,204.0
23.0,12.0,989.0,200.0
24.0,12.0,1000.0,199.0
25.0,12.0,1011.0,204.0
26.0,12.0,1016.0,214.0
27.0,12.0,970.0,213.0
28.0,12.0,971.0,221.0
29.0,12.0,973.0,229.0
30.0,12.0,976.0,237.0
31.0,12.0,959.0,253.0
32.0,12.0,966.0,255.0
33.0,12.0,973.0,256.0
34.0,12.0,979.0,254.0
35.0,12.0,985.0,251.0
36.0,12.0,927.0,218.0
37.0,12.0,935.0,214.0
38.0,12.0,943.0,214.0
39.0,12.0,950.0,218.0
40.0,12.0,944.0,218.0
41.0,12.0,936.0,219.0
42.0,12.0,982.0,219.0
43.0,12.0,990.0,216.0
44.0,12.0,997.0,217.0
45.0,12.0,1002.0,221.0
46.0,12.0,996.0,221.0
47.0,12.0,990.0,220.0
48.0,12.0,945.0,281.0
49.0,12.0,958.0,274.0
50.0,12.0,968.0,269.0
51.0,12.0,973.0,270.0
52.0,12.0,979.0,269.0
53.0,12.0,986.0,272.0
